Cycle_Group,Discharge Time (s)_mean,Discharge Time (s)_std,Discharge Time (s)_min,Discharge Time (s)_max,Discharge Time (s)_skew,Discharge Time (s)_kurtosis,Decrement 3.6-3.4V (s)_mean,Decrement 3.6-3.4V (s)_std,Decrement 3.6-3.4V (s)_min,Decrement 3.6-3.4V (s)_max,Decrement 3.6-3.4V (s)_skew,Decrement 3.6-3.4V (s)_kurtosis,Max. Voltage Dischar. (V)_mean,Max. Voltage Dischar. (V)_std,Max. Voltage Dischar. (V)_min,Max. Voltage Dischar. (V)_max,Max. Voltage Dischar. (V)_skew,Max. Voltage Dischar. (V)_kurtosis,Min. Voltage Charg. (V)_mean,Min. Voltage Charg. (V)_std,Min. Voltage Charg. (V)_min,Min. Voltage Charg. (V)_max,Min. Voltage Charg. (V)_skew,Min. Voltage Charg. (V)_kurtosis,Time at 4.15V (s)_mean,Time at 4.15V (s)_std,Time at 4.15V (s)_min,Time at 4.15V (s)_max,Time at 4.15V (s)_skew,Time at 4.15V (s)_kurtosis,Time constant current (s)_mean,Time constant current (s)_std,Time constant current (s)_min,Time constant current (s)_max,Time constant current (s)_skew,Time constant current (s)_kurtosis,Charging time (s)_mean,Charging time (s)_std,Charging time (s)_min,Charging time (s)_max,Charging time (s)_skew,Charging time (s)_kurtosis,Total time (s)_mean,Total time (s)_std,Total time (s)_min,Total time (s)_max,Total time (s)_skew,Total time (s)_kurtosis,RUL,Battery_ID
19,1070.7564000000002,20.93318952071578,1032.75,1105.41,-0.065625791,-0.972997321,295.0476882940099,5.535465328093684,285.5714285708964,304.45714285597205,-0.108445836,-1.097134111,3.8439599999999996,0.005627774,3.827,3.852,-0.646971773,0.14255519980638498,3.69288,0.05663944,3.671,3.934,3.516922317824004,11.272844415184565,1561.4664771427144,104.19729342375409,1206.6607142854482,1668.7190000023693,-1.912053702,3.6345987137435687,2246.5628,85.14578399,1988.38,2348.41,-0.843320133,0.5265537358875885,7361.8666,149.3965637067591,7151.31,7901.78,2.294357135012464,5.2731067290977265,10175.411799999994,8651.237255108565,8206.060000000522,52169.37000000104,4.693529686086592,20.033753009479565,114,1
20,4813.5584,26860.311093000862,987.42,190945.99,6.857139637910544,45.02037934,394.6325688059796,826.2285897034344,269.010989,6120,6.856751430973579,45.01690398673597,3.8358800000000004,0.055747843373679704,3.812,4.22,6.736197773715118,43.94113503338117,3.69402,0.065118257,3.363,3.943,-1.323591845,15.88929908366675,2480.947094285674,7302.405254506799,1082.3440000005066,53069.984,6.851245151444002,44.96714710482004,3360.6628,8809.441761412729,1844.34,64385.95,6.849869869223442,44.954315191807346,8511.143799999998,8092.7417925199825,7167.41,64385.95,6.783052835886508,44.322917836388676,14070.373400000026,28954.605234056256,8179.5600000005215,205496.99000000025,6.042981200817718,36.91009088097261,64,1
21,958.0975999999998,14.465126192159616,933.94,987.59,0.15307740665929728,-0.93673543,258.67318514220415,5.289699526722607,245.35924999974668,268.2197802197188,-0.100564539,-0.615929984,3.8156399999999997,0.004438974,3.8,3.823,-1.020755687,1.8114723017269014,3.7171200000000004,0.053378754,3.696,3.952,3.675737753042213,12.552352373337719,1279.3000328570502,99.09068346805262,934.0892857145518,1376.4059999994934,-2.493831902,5.659806988334276,1909.7294000000004,74.10243608901484,1664.38,2024.41,-1.594717824,3.0561275188375943,7158.2972,191.49961754147347,7019.19,7889.16,2.912705625879643,7.238612288,9859.636399999987,8690.481963645283,7989.5600000005215,52052,4.693214689979892,20.031831735019583,14,1
22,49386.07785714285,181303.99260862818,906.94,679307.97,3.3282011621031895,9.076923015,20462.61499759914,75636.02410266365,233.96900000050664,283252.125,3.328201152858116,9.076922977291725,3.839142857142858,0.10857953989364891,3.795,4.216,3.3159332486848356,9.028118584362307,3.6827142857142863,0.1268217577616643,3.256,3.825,-2.921705374,7.749807208655403,4833.556928571181,13538.420502007497,854.375,51869.98399999738,3.3278507755271756,9.075505528692922,44881.64714285714,161075.3288725841,1582,604521.09,3.328199952946704,9.076918097808232,49805.29142857143,159658.30383422962,6985.12,604521.09,3.3281928505686285,9.076889179148054,59120.66499999998,178927.61848454413,7925.12,679458.5,3.3043000675414698,8.975251372,0,1
0,12928.512291666668,61468.86692761703,2179.72,425336.62,6.5020659269270915,41.04043245525232,6020.732050082096,36083.813925893686,691.188,250805.43700000003,6.709528836344797,43.018992560661985,4.016416666666667,0.10636785495334529,3.666,4.288,-0.138896964,4.517998621837713,3.4205625000000004,0.11802089722100517,3.103,3.914,1.2008139142716805,6.5204139528270275,9480.813615,31203.97182828086,1863.3279999999795,221138.76900000003,6.707229015905247,42.99906555,8646.097083333332,13467.09766467179,2843.33,87344.19,5.062317384988801,24.953196513466967,18911.374583333334,61372.33236572531,5940.23,432558.17,6.584157029278031,41.84469938,24311.585000000003,66600.65317555613,8542.839999999967,465049.4,6.263974999330846,38.71987272506861,1059,2
1,6223.8074,28876.462635691038,2099.97,206327.42,6.857135965566181,45.020346467511864,4721.799820000011,28701.117478846027,638.3999999999069,203610.37100000004,6.857140074213151,45.02038324923859,3.9768399999999997,0.044583954,3.959,4.269,5.807536457471118,35.423592633988235,3.4491,0.073305135,3.179,3.758,1.4075242305168125,10.033666825938512,6103.245933333319,9336.621644324245,4659.449999999953,70799.998,6.856238046580745,45.01229871441412,7274.7892,10801.22770928263,5624.25,82120.83,6.856385440491794,45.01361998,10637.609199999999,10316.017725322437,9038.56,82120.83,6.8562056332042784,45.01199491145962,17250.636400000003,30604.373368173616,11154.689999999944,220877.98,6.139875923545019,37.905332923997136,1009,2
2,6225.5149999999985,28478.014331914714,2024.91,203466.05,6.846296597129733,44.921216967667455,-3415.443888,27598.027542986587,-194556.07,638,-6.845747627,44.91614005121962,3.96264,0.044365256,3.952,4.269,6.783614147160007,44.35249919540155,3.47502,0.070279178,3.247,3.778,2.008372869684807,9.775416418596782,5842.153000000008,9119.028471298374,4407.575000000186,69029.98900000006,6.855853592145797,45.00885007284278,7137.858200000001,10606.846385539839,5372.34,80359.87,6.780366761088064,44.29476221460284,10596.401000000002,10109.019781254809,8886,80359.87,6.774276002020073,44.23562069897876,17119.564999999995,30234.17368642564,10925.429999999702,218039.75,6.1195691949488165,37.71132039,959,2
3,1991.1070000000002,24.245205648514837,1948.78,2028.77,-0.12682001,-1.238107619,577.1832973333347,10.876487295764777,558,594.3999999999069,-0.145083983,-1.267633148,3.9481200000000003,0.00345608,3.944,3.963,2.2139002788725777,6.1296146899426045,3.50814,0.072932177,3.478,3.795,3.222091879769625,8.875549672143956,4288.413547999964,81.49704066292834,4155.513000000268,4412.3849999997765,-0.070173128,-1.333601051,5240.0708,82.82362671486965,5084.31,5372.48,-0.054257272,-1.227332309,8877.979,54.41729422917388,8766.28,8979.74,-0.072029012,-0.636075975,12612.305,8565.669229589239,10731.310000000056,54185.68999999994,4.694264988490149,20.03816535745941,909,2
4,5927.444600000001,28279.43448423103,1884.09,201893.85,6.857134378206232,45.02033225656406,2516.7236233333665,13948.75261437067,525.5999999996275,99176.62049999926,6.857136818694055,45.02035410536895,3.9459800000000005,0.046295189,3.934,4.266,6.805350829805217,44.549968926685544,3.51452,0.067991668,3.272,3.801,1.6015964892527217,9.908923857506462,5343.600240000012,8853.550376,3939.543000000529,66689.98599999957,6.855196935769648,45.00293432884898,6495.808400000001,10312.885628056629,4868.28,77955.01,6.855513962732177,45.00577823740468,10185.649600000002,9780.619335470292,8671.62,77955.01,6.854983354070615,45.00094896835829,16588.585999999996,30083.166519654435,10573.53000000026,216444.58000000007,6.1167173463354425,37.66589348577587,859,2
5,1851.313,20.987149834202484,1813.44,1881.06,-0.169420718,-1.204530502,512.2606476,8.889782107697195,496,524,-0.294558287,-1.271720232,3.9310999999999994,0.002880264,3.927,3.944,2.3993586283849484,7.7630478887831735,3.539219999999999,0.068077174,3.513,3.811,3.2752021859460076,9.220784567060925,3824.395711999969,71.95370563616737,3701.912999999709,3932.311999999918,-0.129879521,-1.23319793,4762.965200000001,73.00830652321521,4652.22,4868.38,-0.120219586,-1.215427341,8661.300000000001,51.16390624298363,8567.28,8779.03,0.033372466,-0.446269948,12255.907000000012,8569.892275447879,10399.839999999853,53837.06000000052,4.694407347306212,20.038997384056287,809,2
6,5804.142,28159.54200726733,1774.06,200939.71,6.8571316055102205,45.020307432693365,546.0106807142869,349.9604297711186,477.8571428572759,2970.0149999996647,6.847449713924594,44.93363181694357,3.9341200000000005,0.047395272,3.922,4.262,6.8212981579159555,44.69848268131575,3.5387800000000005,0.065121641,3.289,3.812,1.2502211541355261,10.492686987984396,4970.288839999951,8621.927521979476,3593.943999999203,64709.987999999896,6.854565374619121,44.99725721698008,6107.555200000002,10075.71730544672,4508.34,75921.25,6.854861078420819,44.999899742757165,9974.3982,9518.533755,8457.84,75921.25,6.852889237825531,44.98194737831588,16293.53799999999,29992.35899413447,10252.30999999959,215490.4299999997,6.112425820756799,37.62182420844744,759,2
7,7721.861515151515,34344.526775771905,1696.31,199037.47,5.480071843510394,28.03120961911931,554.0254632033916,496.64118245510554,453.5939999995753,3320.0099999997765,5.476614219,28.00675700144208,3.928484848484849,0.059211021573331905,3.915,4.258,5.463360264811171,27.911659133811973,3.5656060606060604,0.097706173,3.298,3.876,1.2572268019718091,4.227677864523404,5260.405496969481,10350.07715301868,2888.3119999989867,62910.01900000032,5.478453141502248,28.019802361915076,6496.085454545455,12132.562752401876,3824.31,74075.96,5.478939551802557,28.02322530159741,10446.783030303031,11423.177313938175,7913.97,74075.96,5.47912271,28.024522474636935,18997.419090909112,36475.09892532014,9675.139999999665,213590.4100000001,4.859288950785085,23.161001478803083,709,2
8,1697.7373469387753,29.62466875873258,1636.06,1744.42,-0.017446896,-1.044079204,447.92880685135964,9.014361217689062,431.1428571427241,462,0.086647367,-1.190678072,3.908530612244898,0.002467303,3.903,3.913,-0.213662713,-0.8237842,3.5788163265306125,0.079479209,3.515,3.979,3.7486281262587213,13.86537646711811,3301.1420612246034,383.12934327392026,893.9519999995828,4119.552,-4.999338614,30.600858179145327,4214.060816326531,389.5332308611848,1808.35,5192.35,-4.608484422,28.79755499779116,8426.502653061225,416.0255508518253,6133.98,10054.43,-2.255979742,21.601279382815644,11902.599591836715,8671.272571126434,7848.889999999665,53522.38999999967,4.623062486981228,19.436019074418276,659,2
9,5703.059375,28337.491523945042,1527.61,197940.48,6.709755183609181,43.020975276831805,2983.5062077377224,17745.141405766793,404.5714285718277,123364.0939999828,6.709777802698887,43.02117325009457,3.904,0.051625080495532494,3.879,4.252,6.576993928655362,41.869087073476784,3.572604166666667,0.064303383,3.315,3.861,1.121724061686383,13.179950738338299,4274.828177083423,8309.526773410385,2702.344000001438,60629.985000000335,6.704006845134573,42.97056056721076,5390.784791666666,9792.217232682418,3654.02,71804.09,6.704817802,42.977612971575766,9680.19125,9163.932396210566,8038.59,71804.09,6.695531639324855,42.89420234088909,15105.129166666664,29759.812845081524,9638.080000000076,212491.1100000004,6.313882559513821,39.111668329760114,609,2
10,1620.9355102040815,32.100874018554435,1566.92,1683.56,-0.057326672,-1.150042618,433.68583265363276,17.831701252217936,403.88571428507566,459,-0.509420239,-1.363996696,3.884000000000001,0.006174545,3.864,3.892,-0.973754068,1.2587816895105313,3.584163265306123,0.068028287,3.543,3.863,3.1592355577380795,9.229012156,3062.8757959183076,102.74201052759163,2789.313,3255.560000000521,-0.407205611,-0.156444778,3974.2534693877556,134.57166031757674,3752.31,4573.39,1.6918406420935475,6.048348396968757,8461.194489795918,141.99787046615094,8173.7,8863.51,0.38771713427274335,0.12993318564633904,11860.054897959179,8704.277717711593,9849.830000000076,53692.41000000015,4.639284864529636,19.53023381185399,559,2
11,5376.234199999999,26823.628393156647,1509.25,191254.43,6.857135291641229,45.02034043827746,512.4273585707643,601.4410393426355,412.2857142854482,4680,6.856108644537896,45.01115145863744,3.8773999999999997,0.053364744151615226,3.84,4.243,6.611028970107461,42.885320444564066,3.5756399999999995,0.066964432,3.323,3.869,1.395820799675281,10.968359504819619,4056.1455199999245,7788.123950746332,2590.25,58020,6.855120248624288,45.00231524157865,5153.1066,9233.578207965907,3563,69132.58,6.855153855327448,45.00254135373475,9761.8428,8574.502611,8421.88,69132.58,6.840428686,44.86700058357562,15788.836999999998,28731.08006,9986.379999998955,205805.08999999985,6.049096275915845,36.965837631747725,509,2
